title,start_date,when,address,link,description,venue_name,venue_rating,venue_reviews
Smart India Hackathon 2024,Sep 4,"Wed, Sep 4, 1 PM GMT+5:30","M4QC+435 Keshav Mahavidyalaya, near Sainik Vihar, Zone H-4/5, Co-operative Group Housing Societies Pitampura, Pitampura, Delhi, India",https://m.facebook.com/events/1304855327325271/,Participate in the shortlisting & nomination process for the national level Smart India Hackathon 2024,Keshav Mahavidyalaya,4.1,663.0
FALL FESTIVAL-LIFESTYLE POP-UP,Sep 6,"Fri, Sep 6, 3 PM – Sun, Sep 8, 10 PM GMT+5:30","M3M URBANA PREMIUM, Sector 67, Badshahpur, PO, Gurugram, Haryana, India",https://allevents.in/mobile/amp-event.php?event_id=80003543694039,FALL FESTIVAL-LIFESTYLE POP-UP at M3M URBANA PREMIUM M3M Urbana Premium presents - FALL FESTIVAL-LIFESTYLE POP-UP on 6th to 8th September 2024 We are invited you for full entertainment - the...,M3M URBANA PREMIUM,4.5,261.0
Lol Weekdays (A Stand-up Comedy Show),Sep 5,"Thu, Sep 5, 8 PM GMT+5:30","Guftagu Cafe, Opposite DLF City Court, Main Road, &, 34 Main Road, opposite Pillar No 33, DLF Phase 2, Gurugram, Haryana, India",https://www.stubhub.com/the-stand-up-show-gurugram-tickets-9-5-2024/event/155263718/,,Guftagu Cafe,4.2,2191.0
Ladies Night at Toybox Club Gurugram | ClubGo app | 8448878797,Sep 4,"Wed, Sep 4, 8 PM – Thu, Sep 5, 6 AM GMT+5:30","Plot No. 16 & 17, 2nd Floor, ToyBox Nightclub Gurgaon, Sector 29, Gurugram, Haryana, India",https://www.facebook.com/events/toybox-gurugram/ladies-night-at-toybox-club-gurugram-clubgo-app-8448878797/1557482041723699/,Ladies Night at Toybox Club | ClubGo app Complimentary Entry For Couples and Single Ladies via #ClubGo Guestlist ∙ For Tables Booking & Guestlist: 8448878797 http://smarturl.it/ClubGo FOLLOW US...,ToyBox Nightclub Gurgaon,4.3,761.0
Wonder Journey to The Nightsky,Sep 7,"Sat, Sep 7, 7 – 9 PM GMT+5:30","Farmus - Community Farms & Cafe, opp. Janak Equestrain Club, Dhumaspur, Sector 67, Gurugram, Haryana, India",https://allevents.in/gurgaon/wonder-journey-to-the-nightsky/80001499555290?slot=2024-09-07,Embark on a Lunar Quest with Farmus Farms!Ignite your curiosity about the universe with `Wonder Journey To The Nightsky'. Enjoy telescoping views of the moon and the magic of Saturn's rings (when...,Farmus - Community Farms & Cafe,4.4,135.0
Sex Jokes Nights,Sep 3,"Tue, Sep 3, 8 PM GMT+5:30","S-14, Second Floor, The Comedy Theatre, Central Plaza Mall, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana, India",https://www.stubhub.com/sex-jokes-nights-gurugram-tickets-9-3-2024/event/155277526/,,The Comedy Theatre,4.5,210.0
CANNONBALL,Sep 8,"Sun, Sep 8, 5 AM – 5 PM GMT+5:30","9XJX+8Q4 Champions Aquatic Academy, Hasanpur Rd, Sector 75A, Gurugram, Haryana, India",https://www.townscript.com/e/cannonball-233342,"GURUGRAM'S SWIMATHON IN AN OLYMPIC SIZE POOL, PROFESSIONALY RUN BY A TRIATHLON TRAINING ACADEMY. CHOOSE YOUR RACE AND CHALLENGE YOURSELF - 10K, 6K, 4K, 2K, 1K, 500M. A GREAT WAY FOR TRIATHLETES TO...",,,
Let's rock & roll with our first potluck in town with passionate foodies!,Sep 7,"Sat, Sep 7, 7 – 10 PM GMT+5:30","First Floor, The Pint Room - Gurgaon, Crosspoint Mall, DLF Galleria Rd, opposite Galleria Boulevard, DLF Phase IV, Gurugram, Haryana, India",https://www.meetup.com/gurgaon-potluck-meetup/events/qsnmsjygcmbkb/,Hey Friends Are you ready for a gastronomic experience in Gurgaon??? Let's catch up to have lot of chit-chat over exotic dishes & drinks. Some key points: You have to just confirm the dish you are...,The Pint Room - Gurgaon,4.7,7.0
Zero Gravity,Sep 6,"Fri, Sep 6, 8:30 – 11:30 PM GMT+5:30","The Piano Man Gurugram, 32nd avenue, Sector 15 Part 2, Sector 15, Gurugram, Haryana, India",https://insider.in/zero-gravity-sep6-2024/event,"Manita never in her wildest dream considered music as a career. From Aizawl to Delhi with destiny playing its part, after 5 years in the corporate sector, she decided to give her passion a kick...",The Piano Man Gurugram,4.4,2348.0
Candlelight: Best Movie Soundtracks,Sep 2,"Aug 31, 5 PM – Sep 20, 7 PM GMT+5:30","Plot No 292, The Pllazio Hotel, City Center, 296, Sector 29, Gurugram, Haryana, India",https://liveyourcity.com/m/184090,"⭐ Candlelight concerts bring the magic of a live, multi-sensory musical experience to awe-inspiring locations like never seen before in Gurugram. Get your tickets now to discover the music of Best...",The Pllazio Hotel,4.3,5382.0
